iri	kind	section	hierarchy	pcf	label	parents	wiring	definition
ex:ITNeedsAssessment	ice	13			IT Needs Assessment	cco:ont00000853		A Descriptive Information Content Entity that describes the information-technology requirements for building and implementing a knowledge-management strategy.
ex:ITPerformanceData	ice	8			IT Performance Data	cco:ont00000853		A Descriptive Information Content Entity that describes measured values of IT cost, utilization, availability, quality, and service-level attainment used to eva
ex:ITPerformanceIndicatorSpecification	ice	8			IT Performance Indicator Specification	cco:ont00000965		A Directive Information Content Entity that prescribes the key performance indicators by which IT performance is to be measured across an organization.
ex:ITPerformanceMeasureSpecification	ice	8			IT Performance Measure Specification	cco:ont00000965		A Directive Information Content Entity that prescribes the key performance indicators and measures, including the IT services performance index, used to evaluat
ex:ITPerformanceReport	ice	8			IT Performance Report	cco:ont00000853		A Descriptive Information Content Entity that describes the analyzed performance of IT services, projects, finances, and value against established measures and 
ex:ITPolicy	ice	8			IT Policy	cco:ont00000965		A Directive Information Content Entity that prescribes rules and standards governing the creation, use, security, privacy, access, and disposition of an organiz
ex:ITPortfolioAdjustmentDecision	ice	8			IT Portfolio Adjustment Decision	cco:ont00000965		A Directive Information Content Entity that prescribes adjustments to IT investments, projects, and activities in response to technological advancements in purs
ex:ITPortfolioPlan	ice	8			IT Portfolio Plan	cco:ont00000965		A Directive Information Content Entity that prescribes the prioritized allocation of resources across an organization's IT investments, projects, and activities
ex:ITPrioritizationDecision	ice	8			IT Prioritization Decision	cco:ont00000965		A Directive Information Content Entity that prescribes a ranking of IT opportunities or outcomes by their relative importance, effectiveness, and efficiency.
ex:ITProcessExceptionResolution	ice	8			IT Service/Solution Process Exception Resolution	cco:ont00000965		A Directive Information Content Entity that prescribes how an internal service/solution process exception or inquiry is to be resolved.
ex:ITProjectPrioritization	ice	8			IT Project Prioritization	cco:ont00000965		A Directive Information Content Entity that prescribes a ranked ordering of IT projects from most to least critical to business operations.
ex:ITRegulatoryAuditRequirementAssessment	ice	8			IT Regulatory and Audit Requirement Assessment	cco:ont00000853		A Descriptive Information Content Entity that describes the IT regulatory and audit requirements applicable to an organization together with an evaluation of th
ex:ITRelationshipManagementMechanismSpecification	ice	8			IT Relationship Management Mechanism Specification	cco:ont00000965		A Directive Information Content Entity that prescribes the mechanisms and touch points for managing public relations and goodwill with IT customers.
ex:ITRequirementsAnalysis	ice	8			IT Requirements Analysis	cco:ont00000853		A Descriptive Information Content Entity that describes the result of assessing collected IT customer requirements, including identified gaps between expected a
ex:ITRequirementsStatement	ice	13			IT Requirements Statement	cco:ont00000853		A Descriptive Information Content Entity that describes the information-technology requirements -- computers and telecommunications equipment to store, retrieve
ex:ITResearchFindings	ice	8			IT Research Findings	cco:ont00000853		A Descriptive Information Content Entity that describes the insights and conclusions reached by systematically investigating technologies and sources to innovat
ex:ITResearchOutcomeAssessment	ice	8			IT Research Outcome Assessment	cco:ont00000853		A Descriptive Information Content Entity that describes the assessed results of IT research projects against their defined outcome expectations.
ex:ITResearchSelectionCriteria	ice	8			IT Research Selection Criteria	cco:ont00000965		A Directive Information Content Entity that prescribes the standards for selecting IT research initiatives so they align with organizational criteria for implem
ex:ITResilienceAssessment	ice	8			IT Resilience Assessment	cco:ont00000853		A Descriptive Information Content Entity that describes a judgement of an organization's IT resilience strategies and its ability to manage and recover from ris
ex:ITResilienceStrategy	ice	8			IT Resilience Strategy	cco:ont00000965		A Directive Information Content Entity that prescribes how IT across an organization is to adapt to and avoid prospective risks and disruptions.
ex:ITResourceOptimizationPlan	ice	8			IT Resource Optimization Plan	cco:ont00000965		A Directive Information Content Entity that prescribes the process for assigning and managing IT assets in support of an organization's strategic goals.
ex:ITReuseOpportunityRegister	ice	8			IT Component Reuse Opportunity Register	cco:ont00000853		A Descriptive Information Content Entity that registers identified opportunities for reusing IT components.
ex:ITRiskAssessment	ice	8			IT Risk Assessment	cco:ont00000853		A Descriptive Information Content Entity that describes identified IT risks together with a judgement of their likelihood, impact, and criticality to IT operati
ex:ITRiskManagementRoleSpecification	ice	8			IT Risk Management Role Specification	cco:ont00000965		A Directive Information Content Entity that prescribes the specialized risk-management roles for each IT risk area together with their escalation structure.
ex:ITRiskMitigationStrategy	ice	8			IT Risk Mitigation Strategy	cco:ont00000965		A Directive Information Content Entity that prescribes activities and approaches for reducing threats to, and improving the resilience of, an organization's IT 
ex:ITRiskOwnershipAssignment	ice	8			IT Risk Ownership Assignment	cco:ont00000965		A Directive Information Content Entity that prescribes which individual or group is ultimately accountable for ensuring that IT risks are managed appropriately.
ex:ITRiskPrioritization	ice	8			IT Risk Prioritization	cco:ont00000965		A Directive Information Content Entity that prescribes a ranked ordering of potential IT risks by business need, committing the organization to a mitigation seq
ex:ITRiskReportingSpecification	ice	8			IT Risk Reporting Specification	cco:ont00000965		A Directive Information Content Entity that prescribes the processes, capabilities, and responsibilities for communicating IT risk throughout an organization.
ex:ITRiskToleranceSpecification	ice	8			IT Risk Tolerance Specification	cco:ont00000965		A Directive Information Content Entity that prescribes the maximum acceptable risk, in quantitative terms, for each relevant IT risk sub-category (strategic, op
ex:ITRoadmap	ice	8			IT Roadmap	cco:ont00000965		A Directive Information Content Entity that prescribes a sequenced plan of milestones for moving the IT environment from its current state to a planned future s
ex:ITSecurityBreach	ice	8			IT Security Breach Record	cco:ont00000853		A Descriptive Information Content Entity that describes an unauthorized network breach - such as unauthorized access to or usage of data, applications, services
ex:ITSecurityControlReview	ice	8			IT Security Control Review	cco:ont00000853		A Descriptive Information Content Entity that describes the findings of identifying, examining, and reviewing IT security controls or measures (physical, logica
ex:ITSecurityGovernanceSpecification	ice	8			IT Security and Privacy Governance Specification	cco:ont00000965		A Directive Information Content Entity that prescribes an organization's approach to governing IT security and the privacy of data flows, together with the tool
ex:ITSecurityThreatAnalysis	ice	8			IT Security Threat Analysis	cco:ont00000853		A Descriptive Information Content Entity that describes the analyzed impact of security threats on an organization's critical IT assets and functions.
ex:ITSecurityThreatData	ice	8			IT Security Threat Data	cco:ont00000853		A Descriptive Information Content Entity that describes threats, vulnerabilities, and breach points affecting an organization's critical IT assets and data flow
ex:ITServiceCatalog	ice	8			IT Service Catalog	cco:ont00000965		A Directive Information Content Entity that constitutes an organized, curated collection of the IT-related services that may be performed by, for, or within an 
ex:ITServiceDemandForecast	ice	8			IT Service Demand Forecast	cco:ont00000626;cco:ont00000853		A Predictive Information Content Entity that estimates the anticipated future demand and usage of an organization's IT services.
ex:ITServiceManagementPlan	ice	8			IT Service Management Plan	cco:ont00000965		A Directive Information Content Entity that prescribes the processes, people, technology, and lifecycle approach by which IT services are designed, delivered, s
ex:ITServiceSolutionApproach	ice	8			IT Service/Solution Delivery Approach	cco:ont00000965		A Directive Information Content Entity that prescribes the approach for delivering an IT service/solution in alignment with business needs and cost/delivery con
ex:ITServiceSolutionRegister	ice	8			IT Service/Solution Register	cco:ont00000853		A Descriptive Information Content Entity that enumerates the IT services and solutions offered to customers and the procedures that realize them.
ex:ITServiceSolutionSunsetPlan	ice	8			IT Service/Solution Sunset Plan	cco:ont00000965		A Directive Information Content Entity that prescribes the retirement of IT service/solution resources once the service/solution is no longer feasible.
ex:ITServiceSupportRecord	ice	8			IT Service Support Record	cco:ont00000853		A Descriptive Information Content Entity that describes the disposition of a resolved IT issue or request, including the diagnosis and corrective actions taken.
ex:ITSolutionDesignSpecification	ice	8			IT Solution Design Specification	cco:ont00000965		A Directive Information Content Entity that prescribes the form, structure, and behavior of a prospective IT service or solution so that it may be built and dep
ex:ITSolutionValidationResult	ice	8			IT Solution Validation Result	cco:ont00000853		A Descriptive Information Content Entity that describes the result of testing or validating that an IT service or solution is feasible and meets the customer re
ex:ITStandard	ice	8			IT Standard	cco:ont00000965		A Directive Information Content Entity that prescribes the principles, criteria, and conformance requirements that govern IT architecture, development, change, 
ex:ITStrategicAlignmentSpecification	ice	8			IT Strategic Alignment Specification	cco:ont00000965		A Directive Information Content Entity that prescribes how an organization's business divisions, staff, and resources are to be aligned with its planned IT obje
ex:ITStrategy	ice	8			IT Strategy	cco:ont00000965		A Directive Information Content Entity that prescribes an organization-wide direction for the IT function, aligning IT investments, capabilities, and activities
ex:ITTrainingProgram	ice	8			IT Training Program	cco:ont00000965		A Directive Information Content Entity that prescribes the content, audience, and delivery of instruction provided to IT staff or users on IT services, risk, re
ex:ITTransformationPlan	ice	8			IT Transformation Plan	cco:ont00000965		A Directive Information Content Entity that prescribes how an organization is to replace or upgrade its IT operating model, governance, service delivery, and wo
ex:ITUserAuthorizationPolicy	ice	8			IT User Identity and Authorization Policy	cco:ont00000965		A Directive Information Content Entity that prescribes how authorization policies are integrated with the authorized profiles of users permitted to access netwo
ex:ITUserDirectory	ice	8			IT User Directory	cco:ont00000853		A Descriptive Information Content Entity that describes user profiles and access requirements across different levels of an organization's IT network.
ex:ITValueContributionAssessment	ice	8			IT Value Contribution Assessment	cco:ont00000853		A Descriptive Information Content Entity that describes a quantified judgement of the value and benefits that IT investments, services, and projects contribute 
ex:ITValueCriteria	ice	8			IT Value Criteria	cco:ont00000965		A Directive Information Content Entity that prescribes the standards used to determine the value of IT investments, projects, and activities for business object
ex:ITVision	ice	8			IT Vision	cco:ont00000965		A Directive Information Content Entity that prescribes the long-term goals, direction, and intended future state of an organization's information technology.
ex:ImplementationPlan	ice	delivery			Implementation plan	cco:ont00000965		A Directive Information Content Entity that prescribes the concrete tasks, owners, and falsifiable acceptance criteria by which a roadmap phase is to be deliver
ex:ImprovementOpportunityAnalysis	ice	6			Improvement Opportunity Analysis	cco:ont00000853		A Descriptive Information Content Entity that describes identified opportunities to improve customer service operations, products, or warranties.
ex:ImprovementOpportunityAssessment	ice	13			Improvement Opportunity Assessment	cco:ont00000853		A Descriptive Information Content Entity that describes identified opportunities to improve an existing business process to meet new goals and objectives.
ex:ImprovementPlan	ice	3			Improvement Plan	cco:ont00000965		A Directive Information Content Entity that prescribes actions to improve under-performing channels, programs, or processes and to expand those exceeding expect
ex:InboundMaterialReceiptPlan	ice	4			Inbound Material Receipt Plan	cco:ont00000965		A Directive Information Content Entity that prescribes the receipt of inbound materials procured from supply sources and delivered to a distribution center or w
ex:IncentivePlan	ice	7			Incentive Plan	cco:ont00000965		A Directive Information Content Entity that prescribes a scheme of awards and recognition designed to elicit desired employee outcomes.
ex:IncentiveScheme	ice	3			Incentive Scheme	cco:ont00000965		A Directive Information Content Entity that prescribes financial inducements, such as discounts, offered to intermediaries or customers.
ex:IncompleteServiceOrderRegister	ice	6			Incomplete Service Order Register	cco:ont00000853		A Descriptive Information Content Entity that registers the service orders that are partially or entirely incomplete or undelivered, together with associated se
ex:IndividualServiceRequirement	ice	6			Individual Service Requirement	cco:ont00000853		A Descriptive Information Content Entity that records the validated, individual-customer-specific service requirements confirmed for one customer.
ex:IndustryTrendAnalysis	ice	3			Industry and Market Trend Analysis	cco:ont00000853		A Descriptive Information Content Entity that describes large-scale shifts and trends affecting the uptake of an organization's products or services.
ex:IndustryTrendData	ice	3			Industry Trend Data	cco:ont00000853		A Descriptive Information Content Entity that describes large-scale shifts and movements in an industry or wider market relevant to an organization's offerings.
ex:InformationGovernanceFramework	ice	8			Information Governance Framework	cco:ont00000965		A Directive Information Content Entity that prescribes the guidelines, decision rights, and accountabilities ensuring the effective and efficient use of an orga
ex:InfringementAssessment	ice	2			Infringement Assessment	cco:ont00000853		A Descriptive Information Content Entity that describes a judgement of patentability and possible infringement, including open-source licensing usage.
ex:InitiativeSelectionDecision	ice	1			Initiative Selection Decision	cco:ont00000965		A Directive Information Content Entity that prescribes which strategic initiatives an organization will pursue.
ex:InquiryAnalysis	ice	6			Inquiry Analysis	cco:ont00000853		A Descriptive Information Content Entity that describes the content and appropriate handling of customer problems, requests, and inquiries.
ex:InquiryResolution	ice	6			Inquiry Resolution	cco:ont00000853		A Descriptive Information Content Entity that records the resolution determined for a customer problem, request, or inquiry.
ex:InquiryResponse	ice	6			Inquiry Response	cco:ont00000853		A Descriptive Information Content Entity communicated to a customer that conveys the answer to their problem, request, or inquiry.
ex:InsuranceCoverageAssessment	ice	11			Insurance Coverage Assessment	cco:ont00000853		A Descriptive Information Content Entity that describes a judgement of the adequacy of an organization's insurance coverage against its changing needs and avail
ex:IntellectualPropertyPolicy	ice	12			Intellectual Property Policy	cco:ont00000965		A Directive Information Content Entity that prescribes the rules, procedures, and restrictions governing the use and protection of an organization's intellectua
ex:IntellectualPropertyRight	ice	12			Intellectual Property Right	cco:ont00000965		A Directive Information Content Entity that prescribes the exclusive legal entitlement an organization holds over a patent, copyright, or trademark.
ex:InteractionQualityAssessment	ice	6			Interaction Quality Assessment	cco:ont00000853		A Descriptive Information Content Entity that describes a judgement of the quality of interactions between customers and customer service representatives.
ex:InternalCapabilityData	ice	1			Internal Capability Data	cco:ont00000853		A Descriptive Information Content Entity that describes an organization's in-house skills, resources, operations, and capacities.
ex:InternalControlPolicy	ice	9			Internal Control Policy	cco:ont00000965		A Directive Information Content Entity that prescribes the controls, roles, and responsibilities an Organization adopts to assure reliable financial reporting a
ex:InternalEnvironmentAssessment	ice	1			Internal Environment Assessment	cco:ont00000853		A Descriptive Information Content Entity that describes a big-picture understanding of an organization's internal skills, resources, and capacities.
ex:InternalOperationsAnalysis	ice	1			Internal Operations Analysis	cco:ont00000853		A Descriptive Information Content Entity that describes the key elements and measured effectiveness of an organization's internal operations.
ex:InventoryAccuracyReport	ice	4			Inventory Accuracy Report	cco:ont00000853		A Descriptive Information Content Entity that describes discrepancies between the recorded inventory and the physical state of the inventory.
ex:InventoryNeedsAssessment	ice	4			Inventory Needs Assessment	cco:ont00000853		A Descriptive Information Content Entity that describes the problems and issues discerned in managing inventory together with the exact quantity of inventory ne
ex:InventoryRecord	ice	4			Inventory Record	cco:ont00000853		A Descriptive Information Content Entity that describes the quantity, location, and availability of inventory items at warehouses and distribution centers.
ex:InvestmentPolicy	ice	9			Investment Policy	cco:ont00000965		A Directive Information Content Entity that prescribes the principles governing an Organization's investment decisions.
ex:Invoice	ice	12			Invoice	cco:ont00000853		A Descriptive Information Content Entity that describes fees claimed by a service provider for services rendered.
ex:JobDescription	ice	7			Job Description	cco:ont00000853		A Descriptive Information Content Entity that describes the responsibilities, essential functions, required knowledge and skills, and working conditions of a po
ex:JobOffer	ice	7			Job Offer	cco:ont00000965		A Directive Information Content Entity that prescribes the terms (role, reporting, salary, bonus, benefits) on which an organization proposes to employ a select
ex:JobRequisition	ice	7			Job Requisition	cco:ont00000965		A Directive Information Content Entity that prescribes an authorized request to fill a vacant position, specifying the title, department, fill date, and require
ex:JudgeVerdict	ice	delivery			Judge verdict	cco:ont00000853		A Descriptive Information Content Entity that records the outcome of an evaluation of an artifact against its acceptance criteria.
ex:KMApproachEvaluation	ice	13			KM Approach Evaluation	cco:ont00000853		A Descriptive Information Content Entity that describes an evaluation of existing knowledge-management procedures, policies, and guidelines against industry bes
ex:KMAwarenessCommunication	ice	13			KM Awareness Communication	cco:ont00000853		A Descriptive Information Content Entity that describes the awareness-and-engagement messaging promoting use of an Organization's available knowledge bases.
ex:KMCapabilityMaturityAssessment	ice	13			KM Capability Maturity Assessment	cco:ont00000853		A Descriptive Information Content Entity that describes the maturity level of existing knowledge-management initiatives.
ex:KMFundingModel	ice	13			KM Funding Model	cco:ont00000965		A Directive Information Content Entity that prescribes the funding approach selected for an Organization's knowledge management program.
ex:KMGovernanceModel	ice	13			KM Governance Model	cco:ont00000965		A Directive Information Content Entity that prescribes the structure, roles, and accountability for governing an Organization's collective knowledge.
ex:KMInitiativeLinkageAnalysis	ice	13			KM Initiative Linkage Analysis	cco:ont00000853		A Descriptive Information Content Entity that describes the correlations and dependencies between an organization's knowledge-management strategy and its other 
ex:KMMethodologySpecification	ice	13			KM Methodology Specification	cco:ont00000965		A Directive Information Content Entity that prescribes the core procedures and methodologies for developing, planning, executing, and improving knowledge manage
ex:KMResourceModel	ice	13			KM Resource Model	cco:ont00000965		A Directive Information Content Entity that prescribes the resources, standards, and guidelines an organization's knowledge-management approaches are to follow.
ex:KMStrategy	ice	13			KM Strategy	cco:ont00000965		A Directive Information Content Entity that prescribes an Organization's plan for capturing, maintaining, accessing, and exploiting its knowledge base.
ex:KeyPerformanceIndicatorSpecification	ice	4			Key Performance Indicator Specification	cco:ont00000965		A Directive Information Content Entity that prescribes the key performance measures by which the performance of a logistics or production strategy is to be eval
ex:LaborAndMaterialsPolicy	ice	4			Labor and Materials Policy	cco:ont00000965		A Directive Information Content Entity that prescribes internal rules and regulations governing employees and materials.
ex:LaborPolicy	ice	5			Labor Policy	cco:ont00000965		A Directive Information Content Entity that prescribes rules governing the use of labor resources in service delivery, consistent with organizational and regula
ex:LaunchPlan	ice	2			Product/Service Launch Plan	cco:ont00000965		A Directive Information Content Entity that prescribes the program and procedures for introducing and launching a new product or service.
ex:LearningProgramAlignmentSpecification	ice	7			Learning Program Alignment Specification	cco:ont00000965		A Directive Information Content Entity that prescribes how learning and training programs are to be contextualized and aligned with the core competencies and ca
ex:LearningProgramEvaluation	ice	7			Learning Program Evaluation	cco:ont00000853		A Descriptive Information Content Entity that describes a judgement of the coverage and effectiveness of an organization's learning and training programs.
ex:LeaveRecord	ice	9			Leave Report	cco:ont00000853		A Descriptive Information Content Entity that describes the paid and unpaid leave allowed to and taken by employees.
ex:LegalActivityRecord	ice	12			Legal Activity Record	cco:ont00000853		A Descriptive Information Content Entity that describes the legal activities and performance of an organization over time.
ex:LegalAdvice	ice	12			Legal Advice	cco:ont00000853		A Descriptive Information Content Entity that describes counsel concerning the substance or procedure of a law as it applies to a particular situation.
ex:LegalAnalysis	ice	11			Legal Analysis	cco:ont00000853		A Descriptive Information Content Entity that describes an examination of regulatory and legislative frameworks bearing on an organization's remediation obligat
ex:LegalAndRegulatoryRequirements	ice	7			Legal and Regulatory Requirements	cco:ont00000853		A Descriptive Information Content Entity that describes the employment-related legislation and regulatory requirements applicable to an organization's jurisdict
ex:LegalProblemStatement	ice	12			Legal Problem Statement	cco:ont00000853		A Descriptive Information Content Entity that describes a legal or ethical problem an organization faces and the tasks for which assistance may be needed.
ex:LegalWorkProduct	ice	12			Legal Work Product	cco:ont00000853		A Descriptive Information Content Entity that describes a deliverable produced by outside counsel in the course of an engagement.
ex:LessonsLearnedRecord	ice	13			Lessons Learned Record	cco:ont00000853		A Descriptive Information Content Entity that describes the insights and knowledge captured from a completed change or project for reuse.
ex:LetterOfCredit	ice	9			Letter of Credit	cco:ont00000965		A Directive Information Content Entity issued by a bank that prescribes payment to a seller upon satisfaction of specified delivery conditions.
ex:LicensingTerms	ice	12			Licensing Terms	cco:ont00000965		A Directive Information Content Entity that prescribes the terms and conditions governing the granting of a license to an organization's intellectual property.
ex:LifeCycleCostAnalysis	ice	9			Life-Cycle Cost Analysis	cco:ont00000853		A Descriptive Information Content Entity that describes the revenue and cost incurred at each stage of a product or process life cycle.
ex:LoadPlan	ice	4			Load Plan	cco:ont00000965		A Directive Information Content Entity that prescribes how loads are to be delivered to a given destination or partner.
ex:LogisticsNetworkDesign	ice	4			Logistics Network Design	cco:ont00000965		A Directive Information Content Entity that prescribes the network of entities through which materials and information flow in logistical activities.
ex:LogisticsRequirementSpecification	ice	4			Logistics Requirement Specification	cco:ont00000965		A Directive Information Content Entity that prescribes the logistics requirements derived from customer service requirements for managing flow between origin an
ex:LogisticsStrategy	ice	4			Logistics Strategy	cco:ont00000965		A Directive Information Content Entity that prescribes an organization's approach to managing logistics, including network design, outsourcing, and transportati
ex:LotNumberingSystemSpecification	ice	4			Lot Numbering System Specification	cco:ont00000965		A Directive Information Content Entity that prescribes the scheme for assigning lot identification numbers to quantities of manufactured material.
ex:LotUsageSpecification	ice	4			Lot Usage Specification	cco:ont00000965		A Directive Information Content Entity that prescribes where, how, and when a production lot is to be used.
ex:MacroeconomicData	ice	1			Macroeconomic Data	cco:ont00000853		A Descriptive Information Content Entity that describes macroeconomic indicators such as interest rates, taxation, commodity prices, and unemployment.
ex:MacroeconomicTrendAnalysis	ice	1			Macroeconomic Trend Analysis	cco:ont00000853		A Descriptive Information Content Entity that describes medium- to long-term macroeconomic shifts relevant to an organization.
ex:MaintenanceIssueReport	ice	4			Maintenance Issue Report	cco:ont00000853		A Descriptive Information Content Entity that describes deviations or issues in the maintenance schedule or in production performance.
ex:MaintenancePerformanceReport	ice	10			Maintenance Performance Report	cco:ont00000853		A Descriptive Information Content Entity that describes the organization's measured success in meeting maintenance performance targets and contractual obligatio
ex:MaintenancePerformanceTarget	ice	10			Maintenance Performance Target	cco:ont00000965		A Directive Information Content Entity that prescribes the predictive indicators and target levels to be achieved in performing maintenance.
ex:MaintenancePolicy	ice	10			Maintenance Policy	cco:ont00000965		A Directive Information Content Entity that prescribes the procedures and policies governing how asset maintenance is to be carried out.
ex:MaintenanceRequirementsForecast	ice	10			Maintenance Requirements Forecast	cco:ont00000626;cco:ont00000853		A Predictive Information Content Entity, about an asset, that describes a projection of that asset's uncertain future maintenance requirements based on its pres
ex:MaintenanceSchedule	ice	10			Maintenance Schedule	cco:ont00000965		A Directive Information Content Entity that prescribes a timetable for executing the maintenance of an asset.
ex:MaintenanceStrategy	ice	10			Maintenance Strategy	cco:ont00000965		A Directive Information Content Entity that prescribes goals and agendas for realizing an organization's asset-maintenance policies.
ex:ManufacturingGoalSpecification	ice	4			Manufacturing Goal Specification	cco:ont00000965		A Directive Information Content Entity that prescribes quantifiable strategic objectives for one or more manufacturing segments.
ex:MarketAcceptanceAnalysis	ice	2			Market Acceptance Analysis	cco:ont00000853		A Descriptive Information Content Entity that describes user engagement and a product/service's acceptance in the market following launch.
ex:MarketCompensationData	ice	7			Market Compensation Data	cco:ont00000853		A Descriptive Information Content Entity that describes prevailing compensation, benefits, and reward practices in a labor market or industry.
ex:MarketData	ice	10			Market Data	cco:ont00000853		A Descriptive Information Content Entity that describes features of a market, such as property prices, construction costs, and supply conditions.
ex:MarketEnvironmentData	ice	5			Market Environment Data	cco:ont00000853		A Descriptive Information Content Entity that describes external market conditions relevant to estimating future demand for an organization's services.
ex:MarketIntelligenceReport	ice	3			Market Intelligence Report	cco:ont00000853		A Descriptive Information Content Entity that describes the attributes, behavior, and trends of market and customer segments gathered as intelligence.
ex:MarketOpportunity	ice	3			Market Opportunity Statement	cco:ont00000853		A Descriptive Information Content Entity that describes an identified opportunity to capture value in a market.
ex:MarketOpportunityData	ice	2			Market Opportunity Data	cco:ont00000853		A Descriptive Information Content Entity that describes opportunities, demand, and gaps present in a market.
ex:MarketRateData	ice	9			Market Rate Data	cco:ont00000853		A Descriptive Information Content Entity that describes prevailing interest rates, foreign-exchange rates, or other market prices.
ex:MarketSegmentation	ice	3			Market Segmentation	cco:ont00000853		A Descriptive Information Content Entity that describes a partition of the customer population into market segments.
ex:MarketShareAnalysis	ice	3			Market Share Analysis	cco:ont00000853		A Descriptive Information Content Entity that describes the gain or loss of an organization's sales volume in targeted markets and its underlying causes.
ex:MarketStudy	ice	2			Market Study	cco:ont00000853		A Descriptive Information Content Entity that describes a detailed analysis of a market's competition, size, trends, segments, channels, and profitability.
ex:MarketingAlignmentAssessment	ice	3			Marketing Alignment Assessment	cco:ont00000853		A Descriptive Information Content Entity that describes a judgement of whether an organization's marketing plan corroborates its overall business strategy.
ex:MarketingBudget	ice	3			Marketing Budget	cco:ont00000965		A Directive Information Content Entity that prescribes the planned allocation of resources to marketing activities.
ex:MarketingCommunicationStrategy	ice	3			Marketing Communication Strategy	cco:ont00000965		A Directive Information Content Entity that prescribes how promotional messages are delivered in a coordinated way across marketing channels.
ex:MarketingGoal	ice	3			Marketing Goal and Objective	cco:ont00000965		A Directive Information Content Entity that prescribes qualitative and quantitative targets to be achieved by marketing for offerings by channel and segment.
ex:MarketingMessage	ice	3			Marketing Message	cco:ont00000965		A Directive Information Content Entity that prescribes a central promotional statement positioning an offering's value for a customer segment.
ex:MarketingStrategy	ice	3			Marketing Strategy	cco:ont00000965		A Directive Information Content Entity that prescribes an organization's overall go-to-market course, comprising its value proposition, pricing strategy, channe
ex:MasterProductionSchedule	ice	4			Master Production Schedule	cco:ont00000965		A Directive Information Content Entity that prescribes the planned quantity, timing, and staffing of internal production and inventory activities over a plannin
ex:MaterialSafetyDataSheet	ice	10			Material Safety Data Sheet	cco:ont00000853		A Descriptive Information Content Entity, about a hazardous material, that records the safety properties and required handling and disposal information for that
ex:MaterialSpecification	ice	4			Material Specification	cco:ont00000853		A Descriptive Information Content Entity that describes the attributes and characteristics of an inventory item, such as density, volume, and size.
ex:MaterialsManagementContingencyPlan	ice	4			Materials Management Contingency Plan	cco:ont00000965		A Directive Information Content Entity that prescribes how to react to issues arising during execution of the inventory plan, such as a vendor failing to delive
ex:MaterialsMasterList	ice	2			Materials Master List	cco:ont00000853		A Descriptive Information Content Entity that describes the storage, utilization, and supplier linkages of an organization's materials.
ex:MaterialsPlan	ice	4			Materials Plan	cco:ont00000965		A Directive Information Content Entity that prescribes the advance provision of raw materials and spares required to meet market demand.
ex:MeasurementMethodSelection	ice	13			Measurement Method Selection	cco:ont00000965		A Directive Information Content Entity that prescribes the tools and methods chosen to measure quality levels.
ex:MeetingRecord	ice	12			Meeting Record	cco:ont00000853		A Descriptive Information Content Entity that records what transpired in a meeting, including attendees, topics discussed, and outcomes, for further analysis an
ex:MetricGapAssessment	ice	13			Metric Gap Assessment	cco:ont00000853		A Descriptive Information Content Entity that describes whether additional performance indicators are needed to achieve a business goal and which measurement ga
ex:MissionStatement	ice	1			Mission Statement	cco:ont00000965		A Directive Information Content Entity that prescribes the overarching purpose and practicable targets an organization aims to pursue.
ex:ModelIntegrationPointRegister	ice	1			Model Integration Point Register	cco:ont00000853		A Descriptive Information Content Entity that describes the points at which a new business model must integrate with pre-existing models to remain coherent with
ex:MonitoringFrequencySpecification	ice	13			Monitoring Frequency Specification	cco:ont00000965		A Directive Information Content Entity that prescribes how often performance is to be supervised, measured, and assessed.
ex:NPDProcessAssessment	ice	2			New Product Development Process Assessment	cco:ont00000853		A Descriptive Information Content Entity that describes an analysis of the new-product-development steps and their effect on existing products, resources, and f
ex:NeedsSupplyAlignmentAssessment	ice	4			Needs-Supply Alignment Assessment	cco:ont00000853		A Descriptive Information Content Entity that describes the degree of fit between an organization's purchasing requirements and the capacity of its suppliers.
ex:NetworkIntrusionDetectionData	ice	8			Network Intrusion Detection Data	cco:ont00000853		A Descriptive Information Content Entity that describes events captured by network intrusion detection sensors for assessment of malicious activity or policy vi
ex:NetworkIntrusionThreatResolution	ice	8			Network Intrusion Threat Resolution	cco:ont00000853		A Descriptive Information Content Entity that describes malicious activity or policy violations detected in network intrusion data together with the gaps identi
ex:NewMediaAssessment	ice	3			New Media Assessment	cco:ont00000853		A Descriptive Information Content Entity that registers and describes emerging media channels identified as candidates for marketing communication.
ex:NewProductEvaluation	ice	9			New-Product Evaluation	cco:ont00000853		A Descriptive Information Content Entity that describes a judgement of the demand and projected profitability of a new product in a market.
ex:NonconformanceImpactAssessment	ice	13			Nonconformance Impact Assessment	cco:ont00000853		A Descriptive Information Content Entity that describes the potential impact of a non-conformance event and the need for corrective or preventive action.
ex:NonconformanceRecord	ice	13			Nonconformance Record	cco:ont00000853		A Descriptive Information Content Entity that describes a closed non-conformance, including its documented root causes and the corrective and preventive actions
ex:NonconformanceTrendAnalysis	ice	4			Nonconformance Trend Analysis	cco:ont00000853		A Descriptive Information Content Entity that describes trends in the occurrence of process or product nonconformances over time.
ex:ObjectiveAlignmentAssessment	ice	5			Objective Alignment Assessment	cco:ont00000853		A Descriptive Information Content Entity that describes the degree to which a customer's business objectives align with an agreed service-delivery solution.
ex:ObjectiveRealizationReport	ice	7			Objective Realization Report	cco:ont00000853		A Descriptive Information Content Entity that describes the extent to which HR goals and objectives have been achieved, measured against defined metrics.
